timestamp,voltage,current,temperature,soc,delta_v,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_v8,ntc1,ntc2,ntc3,ntc4,bluetooth_connected
2026-08-26 14:10:46.514,29.13,0.0,29.1,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.911,3.93,3.921,29.1,28.7,28.2,28.2,True
2026-08-26 14:10:50.086,29.13,0.0,29.1,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.911,3.93,3.921,29.1,28.8,28.1,28.3,True
2026-08-26 14:10:51.151,29.13,0.0,29.1,0.0,0.028,3.919,3.903,3.926,3.913,3.927,3.911,3.931,3.921,29.1,28.8,28.2,28.2,True
2026-08-26 14:10:52.220,29.13,0.0,29.0,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.912,3.93,3.921,29.0,28.9,28.1,28.3,True
2026-08-26 14:10:53.292,29.13,0.0,29.0,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.912,3.93,3.921,29.0,28.9,28.1,28.3,True
2026-08-26 14:10:54.348,29.13,0.0,29.1,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.912,3.93,3.921,29.1,28.7,28.2,28.2,True
2026-08-26 14:10:55.423,29.13,0.0,29.1,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.912,3.93,3.921,29.1,28.7,28.2,28.2,True
2026-08-26 14:10:56.486,29.13,0.0,29.1,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.911,3.93,3.921,29.1,28.7,28.1,28.3,True
2026-08-26 14:10:57.562,29.13,0.0,29.1,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.912,3.93,3.921,29.1,28.7,28.2,28.4,True
2026-08-26 14:10:58.630,29.13,0.0,29.0,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.912,3.93,3.921,29.0,28.9,28.0,28.3,True
2026-08-26 14:10:59.707,29.13,0.0,29.0,0.0,0.027,3.919,3.903,3.926,3.913,3.927,3.911,3.93,3.921,29.0,28.9,28.0,28.4,True
2026-08-26 14:11:00.770,29.13,0.0,29.1,0.0,0.027,3.919,3.903,3.925,3.913,3.927,3.911,3.93,3.921,29.1,28.8,28.2,28.3,True
2026-08-26 14:11:01.873,29.13,0.0,29.1,0.0,0.027,3.919,3.903,3.926,3.913,3.926,3.912,3.93,3.921,29.1,28.8,28.2,28.3,True
